id,Tweet
1393260286451326976,The other climate risk investors need to talk about   https://t.co/dsEeON0bbE  #ClimateChange #ClimateEmergency #ClimateAction
1393259292778647556,What happened during Earth Month?  https://t.co/qM6QSnNIfA  #climate #climatechange #ClimateCrisis #ClimateAction #climatesolutions #climatenews #news #climatesummit #earthday2021 #NewVideoAlert  https://t.co/tTNm9W05VY
1393255584850497541,#RT @GretaThunberg: RT @Y3GUPS: This Afternoon 3EH were inspired by @GretaThunberg and her movement Fridays for the future to go on a peaceful protest around our school. 3EH loved having their opinion and voices heard.   #ClimateAction  #ethicalandinform…  https://t.co/4sMmi15loE
1393255333137502209,I am excited to announce that I am graduating from my MS Environmental Sciences &amp; Policy degree program with @JohnsHopkins! I look forward to working to advance climate policies and build a better world for current and future generations.  #ClimateAction  https://t.co/GvEBqrSWMx
1393255232616812545,BC surprised local governments by cutting climate action grants they relied on. Still waiting for the gov't to explain why. #bcpoli #ubcm #ClimateAction @TheTyee  https://t.co/vZo8hlYrFs
1393254783218241536,Can technology support us in achieving a fair climate future? 🤔Make sure to save the date for this interesting event hosted by @SustainFirst to learn more about #ClimateAction and #technology! 🤖💚🌍  More details below⤵️  https://t.co/xcKqPS6PR1
1393254540191883265,"The great @NaomiAKlein gets down to the nitty-gritty of the relationship between systematic othering and the global climate crises that plague us all today, from our #OBConf21.   #AskOBI #Othering #ClimateAction #ClimateCrisis  https://t.co/HOM1SpX3M3"
1393253899776184321,#Channel_07 #GlobalMedia_06 #Environment_06 #environment #ClimateAction #ClimateCrisis #ClimateActionNow #ClimateJustice #ClimateRisk #climate #Crimes #Crime His government’s blatant disregard for the environment is defining a new international crime.  https://t.co/vr0XGewz9P
1393253335210332170,Capacity building &amp; sharing lessons are crucial for #climateaction  #COP26 Catalyst for Climate Action sessions with key partners today on: - #NDCs - #Adaptation Communications - Carbon Markets - Transparency &amp; reporting  #TogetherForOurPlanet  2/2
1393253225667629059,Faith Base On Tree 🌳 Planting.   Always Remember that there is a reward for everything we do for Humanity and the Planet.   Let Do More for the Planet and Humanity.  @UNBiodiversity @UNEP @WWF @GYBN_CBD @AfricaCRP  #2021Trees #WorldbiodiversityDay #ForNature #ClimateAction  https://t.co/MdB2B7zJqd
1393252278119829506,Join experts on May 20 at 11AM ET. to discuss how  countries have overcome institutional and capacity barriers to implementing #OpenData in response to #climate challenges  Register today:  https://t.co/axa5MYEO9Z #ClimateAction @WRIGovernance  https://t.co/RccraFUnIx
1393251259633717251,"Last hope over climate crisis requires end to coal, says Alok Sharma  https://t.co/tMZbQSBDiV   #ClimateAction #ClimateCrisis #ClimateJustice"
1393250738818752521,"Despite what it may look like to us, a proboscis monkey's long nose is used to attract a mate! Find out more about the impacts of the paper industry:  https://t.co/Cme3Ojb6XY And FSC labels:  https://t.co/9tDzsADGRe  #wildlife #fridaythoughts #climateaction #deforestation #climate  https://t.co/T7Vm3oN8SX"
1393250504671735811,Today is the last day ofof the Latin America and Caribbean Climate Week 2021 ! It has been a week for accelerating #collaboration and integrating #climateaction into global pandemic recovery. #LACCW &gt;&gt;  https://t.co/yxRcBc9vhf  https://t.co/bfoJZAfFCL
1393249740985446419,Third of global food production at risk from climate crisis #ClimateAction #esg #susty #food   https://t.co/rCCHzhqmOW
1393248781479596032,"Its a beautiful sunny day with lush green plants and blue water. What a great day to raise awareness for the climate apocalypse. As number 4 says, The climate is changing why aren't we? #ClimateAction #ClimateCrisis #ClimateEmergency #ClimateJustice"
